cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date,dwh_create_date
11000,AW00011000,Jon,Yang,Married,MALE,06-10-2025,16:48.4
11001,AW00011001,Eugene,Huang,Single,MALE,06-10-2025,16:48.4
11002,AW00011002,Ruben,Torres,Married,MALE,06-10-2025,16:48.4
11003,AW00011003,Christy,Zhu,Single,Female,06-10-2025,16:48.4
11004,AW00011004,Elizabeth,Johnson,Single,Female,06-10-2025,16:48.4
11005,AW00011005,Julio,Ruiz,Single,MALE,06-10-2025,16:48.4
11006,AW00011006,Janet,Alvarez,Single,Female,06-10-2025,16:48.4
11007,AW00011007,Marco,Mehta,Married,MALE,06-10-2025,16:48.4
11008,AW00011008,Rob,Verhoff,Single,Female,06-10-2025,16:48.4
11009,AW00011009,Shannon,Carlson,Single,MALE,06-10-2025,16:48.4
11010,AW00011010,Jacquelyn,Suarez,Single,Female,06-10-2025,16:48.4
11011,AW00011011,Curtis,Lu,Married,MALE,06-10-2025,16:48.4
11012,AW00011012,Lauren,Walker,Married,Female,06-10-2025,16:48.4
11013,AW00011013,Ian,Jenkins,Married,MALE,06-10-2025,16:48.4
11014,AW00011014,Sydney,Bennett,Single,Female,06-10-2025,16:48.4
11015,AW00011015,Chloe,Young,Single,Female,06-10-2025,16:48.4
11016,AW00011016,Wyatt,Hill,Married,MALE,07-10-2025,16:48.4
11017,AW00011017,Shannon,Wang,Single,Female,07-10-2025,16:48.4
11018,AW00011018,Clarence,Rai,Single,MALE,07-10-2025,16:48.4
11019,AW00011019,Luke,Lal,Single,MALE,07-10-2025,16:48.4
11020,AW00011020,Jordan,King,Single,MALE,07-10-2025,16:48.4
11021,AW00011021,Destiny,Wilson,Single,Female,07-10-2025,16:48.4
11022,AW00011022,Ethan,Zhang,Married,MALE,07-10-2025,16:48.4
11023,AW00011023,Seth,Edwards,Married,MALE,07-10-2025,16:48.4
11024,AW00011024,Russell,Xie,Married,MALE,07-10-2025,16:48.4
11025,AW00011025,Alejandro,Beck,Married,MALE,07-10-2025,16:48.4
11026,AW00011026,Harold,Sai,Single,MALE,07-10-2025,16:48.4
11027,AW00011027,Jessie,Zhao,Married,MALE,07-10-2025,16:48.4
11028,AW00011028,Jill,Jimenez,Married,Female,07-10-2025,16:48.4
11029,AW00011029,Jimmy,Moreno,Married,MALE,07-10-2025,16:48.4
11030,AW00011030,Bethany,Yuan,Married,Female,07-10-2025,16:48.4
11031,AW00011031,Theresa,Ramos,Married,Female,07-10-2025,16:48.4
11032,AW00011032,Denise,Stone,Married,Female,07-10-2025,16:48.4
11033,AW00011033,Jaime,Nath,Married,MALE,07-10-2025,16:48.4
11034,AW00011034,Ebony,Gonzalez,Married,Female,07-10-2025,16:48.4
11035,AW00011035,Wendy,Dominguez,Married,Female,07-10-2025,16:48.4
11036,AW00011036,Jennifer,Russell,Married,Female,07-10-2025,16:48.4
11037,AW00011037,Chloe,Garcia,Single,Female,07-10-2025,16:48.4
11038,AW00011038,Diana,Hernandez,Married,Female,07-10-2025,16:48.4
11039,AW00011039,Marc,Martin,Married,MALE,07-10-2025,16:48.4
11040,AW00011040,Jesse,Murphy,Married,MALE,07-10-2025,16:48.4
11041,AW00011041,Amanda,Carter,Married,Female,07-10-2025,16:48.4
11042,AW00011042,Megan,Sanchez,Married,Female,07-10-2025,16:48.4
11043,AW00011043,Nathan,Simmons,Married,MALE,07-10-2025,16:48.4
11044,AW00011044,Adam,Flores,Married,MALE,07-10-2025,16:48.4
11045,AW00011045,Leonard,Nara,Single,MALE,07-10-2025,16:48.4
11046,AW00011046,Christine,Yuan,Married,Female,07-10-2025,16:48.4
11047,AW00011047,Jaclyn,Lu,Married,Female,07-10-2025,16:48.4
11048,AW00011048,Jeremy,Powell,Married,MALE,07-10-2025,16:48.4
11049,AW00011049,Carol,Rai,Single,Female,07-10-2025,16:48.4
11050,AW00011050,Alan,Zheng,Married,MALE,07-10-2025,16:48.4
11051,AW00011051,Daniel,Johnson,Single,MALE,07-10-2025,16:48.4
11052,AW00011052,Heidi,Lopez,Single,Female,07-10-2025,16:48.4
11053,AW00011053,Ana,Price,Married,Female,07-10-2025,16:48.4
11054,AW00011054,Deanna,Munoz,Married,Female,07-10-2025,16:48.4
11055,AW00011055,Gilbert,Raje,Married,MALE,07-10-2025,16:48.4
11056,AW00011056,Michele,Nath,Married,Female,07-10-2025,16:48.4
11057,AW00011057,Carl,Andersen,Married,MALE,07-10-2025,16:48.4
11058,AW00011058,Marc,Diaz,Married,MALE,07-10-2025,16:48.4
11059,AW00011059,Ashlee,Andersen,Single,Female,07-10-2025,16:48.4
11060,AW00011060,Jon,Zhou,Married,MALE,07-10-2025,16:48.4
11061,AW00011061,Todd,Gao,Married,MALE,07-10-2025,16:48.4
11062,AW00011062,Noah,Powell,Married,MALE,07-10-2025,16:48.4
11063,AW00011063,Angela,Murphy,Single,Female,07-10-2025,16:48.4
11064,AW00011064,Chase,Reed,Married,MALE,07-10-2025,16:48.4
11065,AW00011065,Jessica,Henderson,Married,Female,07-10-2025,16:48.4
11066,AW00011066,Grace,Butler,Married,Female,07-10-2025,16:48.4
11067,AW00011067,Caleb,Carter,Single,MALE,07-10-2025,16:48.4
11068,AW00011068,Tiffany,Liang,Single,Female,07-10-2025,16:48.4
11069,AW00011069,Carolyn,Navarro,Single,Female,07-10-2025,16:48.4
11070,AW00011070,Willie,Raji,Married,MALE,07-10-2025,16:48.4
11071,AW00011071,Linda,Serrano,Single,Female,07-10-2025,16:48.4
11072,AW00011072,Casey,Luo,Single,Female,07-10-2025,16:48.4
11073,AW00011073,Amy,Ye,Single,Female,07-10-2025,16:48.4
11074,AW00011074,Levi,Arun,Single,MALE,07-10-2025,16:48.4
11075,AW00011075,Felicia,Jimenez,Single,Female,07-10-2025,16:48.4
11076,AW00011076,Blake,Anderson,Single,MALE,07-10-2025,16:48.4
11077,AW00011077,Leah,Ye,Single,Female,07-10-2025,16:48.4
11078,AW00011078,Gina,Martin,Single,Female,07-10-2025,16:48.4
11079,AW00011079,Donald,Gonzalez,Single,MALE,07-10-2025,16:48.4
11080,AW00011080,Damien,Chander,Married,MALE,07-10-2025,16:48.4
11081,AW00011081,Savannah,Baker,Married,Female,07-10-2025,16:48.4
11082,AW00011082,Angela,Butler,Single,Female,07-10-2025,16:48.4
11083,AW00011083,Alyssa,Cox,Married,Female,07-10-2025,16:48.4
11084,AW00011084,Lucas,Phillips,Single,MALE,07-10-2025,16:48.4
11085,AW00011085,Emily,Johnson,Single,Female,07-10-2025,16:48.4
11086,AW00011086,Ryan,Brown,Married,MALE,07-10-2025,16:48.4
11087,AW00011087,Tamara,Liang,Married,Female,07-10-2025,16:48.4
11088,AW00011088,Hunter,Davis,Married,MALE,07-10-2025,16:48.4
11089,AW00011089,Abigail,Price,Single,Female,07-10-2025,16:48.4
11090,AW00011090,Trevor,Bryant,Single,MALE,07-10-2025,16:48.4
11091,AW00011091,Dalton,Perez,Married,MALE,07-10-2025,16:48.4
11092,AW00011092,Cheryl,Diaz,Married,Female,07-10-2025,16:48.4
11093,AW00011093,Aimee,He,Married,Female,07-10-2025,16:48.4
11094,AW00011094,Cedric,Ma,Single,MALE,07-10-2025,16:48.4
11095,AW00011095,Chad,Kumar,Single,MALE,07-10-2025,16:48.4
11096,AW00011096,Andr├⌐s,Anand,Married,MALE,07-10-2025,16:48.4
11097,AW00011097,Edwin,Nara,Married,MALE,07-10-2025,16:48.4
11098,AW00011098,Mallory,Rubio,Single,Female,07-10-2025,16:48.4
11099,AW00011099,Adam,Ross,Married,MALE,07-10-2025,16:48.4
11100,AW00011100,Latasha,Navarro,Single,Female,07-10-2025,16:48.4
11101,AW00011101,Abby,Sai,Single,Female,07-10-2025,16:48.4
11102,AW00011102,Julia,Nelson,Single,Female,07-10-2025,16:48.4
11103,AW00011103,Cassie,Chande,Single,Female,07-10-2025,16:48.4
11104,AW00011104,Edgar,Sara,Married,MALE,07-10-2025,16:48.4
11105,AW00011105,Candace,Fernandez,Single,Female,07-10-2025,16:48.4
11106,AW00011106,Jessie,Liu,Single,MALE,07-10-2025,16:48.4
11107,AW00011107,Bianca,Lin,Married,Female,07-10-2025,16:48.4
11108,AW00011108,Kari,Alvarez,Single,Female,07-10-2025,16:48.4
11109,AW00011109,Ruben,Kapoor,Single,MALE,07-10-2025,16:48.4
11110,AW00011110,Curtis,Yang,Married,MALE,07-10-2025,16:48.4
11111,AW00011111,Meredith,Gutierrez,Married,Female,07-10-2025,16:48.4
11112,AW00011112,Crystal,Wang,Married,Female,07-10-2025,16:48.4
11113,AW00011113,Micheal,Blanco,Married,MALE,07-10-2025,16:48.4
11114,AW00011114,Leslie,Moreno,Single,Female,07-10-2025,16:48.4
11115,AW00011115,Alvin,Cai,Married,MALE,07-10-2025,16:48.4
11116,AW00011116,Clinton,Carlson,Married,MALE,07-10-2025,16:48.4
11117,AW00011117,April,Deng,Married,Female,07-10-2025,16:48.4
11118,AW00011118,Alvin,Zeng,Single,MALE,07-10-2025,16:48.4
11119,AW00011119,Evan,James,Single,MALE,07-10-2025,16:48.4
11120,AW00011120,Beth,Jim├⌐nez,Single,Female,07-10-2025,16:48.4
11121,AW00011121,Orlando,Suarez,Married,MALE,07-10-2025,16:48.4
11122,AW00011122,Byron,Vazquez,Married,MALE,07-10-2025,16:48.4
11123,AW00011123,Philip,Alvarez,Married,MALE,07-10-2025,16:48.4
11124,AW00011124,Ross,Jordan,Single,MALE,07-10-2025,16:48.4
11125,AW00011125,Dana,Navarro,Single,Female,07-10-2025,16:48.4
11126,AW00011126,Shaun,Carson,Married,MALE,07-10-2025,16:48.4
11127,AW00011127,Jan,Edwards,Married,Female,07-10-2025,16:48.4
11128,AW00011128,Samantha,Long,Married,Female,07-10-2025,16:48.4
11129,AW00011129,Julia,Wright,Single,Female,07-10-2025,16:48.4
11130,AW00011130,Caroline,Russell,Married,Female,07-10-2025,16:48.4
11131,AW00011131,Amanda,Rivera,Married,Female,07-10-2025,16:48.4
11132,AW00011132,Melissa,Richardson,Single,Female,07-10-2025,16:48.4
11133,AW00011133,Angela,Griffin,Single,Female,07-10-2025,16:48.4
11134,AW00011134,Larry,Townsend,Single,MALE,07-10-2025,16:48.4
11135,AW00011135,Marcus,Harris,Single,MALE,07-10-2025,16:48.4
11136,AW00011136,Brianna,Morgan,Single,Female,07-10-2025,16:48.4
11137,AW00011137,Jasmine,Taylor,Married,Female,07-10-2025,16:48.4
11138,AW00011138,Lauren,Davis,Married,Female,07-10-2025,16:48.4
11139,AW00011139,Tanya,Moreno,Single,Female,07-10-2025,16:48.4
11140,AW00011140,Javier,Alvarez,Single,MALE,07-10-2025,16:48.4
11141,AW00011141,Nicole,Ramirez,Married,Female,07-10-2025,16:48.4
11142,AW00011142,Eduardo,Patterson,Single,MALE,07-10-2025,16:48.4
11143,AW00011143,Jonathan,Henderson,Married,MALE,07-10-2025,16:48.4
11144,AW00011144,Edward,Hernandez,Single,MALE,07-10-2025,16:48.4
11145,AW00011145,Jasmine,Coleman,Single,Female,07-10-2025,16:48.4
11146,AW00011146,Karla,Goel,Single,Female,07-10-2025,16:48.4
11147,AW00011147,Ernest,Wu,Married,MALE,07-10-2025,16:48.4
11148,AW00011148,Ross,Vazquez,Married,MALE,07-10-2025,16:48.4
11149,AW00011149,Theodore,Gill,Married,MALE,07-10-2025,16:48.4
11150,AW00011150,Russell,Shen,Single,MALE,07-10-2025,16:48.4
11151,AW00011151,Melinda,Gill,Single,Female,07-10-2025,16:48.4
11152,AW00011152,James,Williams,Single,MALE,07-10-2025,16:48.4
11153,AW00011153,Angela,James,Married,Female,07-10-2025,16:48.4
11154,AW00011154,Megan,Walker,Single,Female,07-10-2025,16:48.4
11155,AW00011155,Hunter,Robinson,Single,MALE,07-10-2025,16:48.4
11156,AW00011156,Maria,Roberts,Single,Female,07-10-2025,16:48.4
11157,AW00011157,Hannah,Long,Married,Female,07-10-2025,16:48.4
11158,AW00011158,Jason,Wright,Single,MALE,07-10-2025,16:48.4
11159,AW00011159,Brianna,Hughes,Single,Female,07-10-2025,16:48.4
11160,AW00011160,Maurice,Tang,Single,Unknown,07-10-2025,16:48.4
11161,AW00011161,Emily,Wood,Single,Unknown,07-10-2025,16:48.4
11162,AW00011162,Chase,Cox,Single,Unknown,07-10-2025,16:48.4
11163,AW00011163,Gabriel,Wang,Married,Unknown,07-10-2025,16:48.4
11164,AW00011164,Devin,Brooks,Single,Unknown,07-10-2025,16:48.4
11165,AW00011165,Jocelyn,Alexander,Married,Unknown,07-10-2025,16:48.4
11166,AW00011166,Ashley,Martinez,Single,Unknown,07-10-2025,16:48.4
11167,AW00011167,Jasmine,Barnes,Single,Unknown,07-10-2025,16:48.4
11168,AW00011168,David,Rodriguez,Single,Unknown,07-10-2025,16:48.4
11169,AW00011169,Bryce,Richardson,Married,Unknown,07-10-2025,16:48.4
11170,AW00011170,Carol,Howard,Married,Unknown,07-10-2025,16:48.4
11171,AW00011171,Jonathan,Hill,Single,Unknown,07-10-2025,16:48.4
11172,AW00011172,Gabrielle,Adams,Married,Unknown,07-10-2025,16:48.4
11173,AW00011173,Sarah,Thomas,Single,Unknown,07-10-2025,16:48.4
11174,AW00011174,Nicholas,Robinson,Married,Unknown,07-10-2025,16:48.4
11175,AW00011175,Luis,Wang,Single,Unknown,07-10-2025,16:48.4
11176,AW00011176,Mason,Roberts,Married,Unknown,07-10-2025,16:48.4
11177,AW00011177,Jose,Flores,Married,Unknown,07-10-2025,16:48.4
11178,AW00011178,Nathan,Johnson,Married,Unknown,07-10-2025,16:48.4
11179,AW00011179,Molly,Rodriguez,Married,Unknown,07-10-2025,16:48.4
11180,AW00011180,April,Anand,Married,Unknown,07-10-2025,16:48.4
11181,AW00011181,Devin,Martin,Married,Unknown,07-10-2025,16:48.4
11182,AW00011182,Stephanie,Torres,Single,Unknown,07-10-2025,16:48.4
11183,AW00011183,Jasmine,Lee,Single,Unknown,07-10-2025,16:48.4
11184,AW00011184,Meghan,Hernandez,Single,Unknown,07-10-2025,16:48.4
11185,AW00011185,Ashley,Henderson,Single,Unknown,07-10-2025,16:48.4
11186,AW00011186,Sarah,Price,Single,Unknown,07-10-2025,16:48.4
11187,AW00011187,Jennifer,Cooper,Married,Unknown,07-10-2025,16:48.4
11188,AW00011188,Catherine,Morris,Married,Unknown,07-10-2025,16:48.4
11189,AW00011189,Lawrence,Blanco,Single,Unknown,07-10-2025,16:48.4
11190,AW00011190,Carson,Bryant,Married,Unknown,07-10-2025,16:48.4
